TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Rhinopithecus roxellana;Colobinae;0.676229508;112;0.435049517;2;0.05;0.009012766;14.01752;51.8648;mM-mF;Diurnal;Terrestrial;Wooded;0.28105;Dispersal;Dispersal;Male;Multiple;Dispersal
Saguinus fuscicollis;Cebidae;0.403333333;6.075;1.869936804;1;0.1;0.216344232;1.845;1.32;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Saguinus geoffroyi;Cebidae;0.48;6.2;3.108154607;1;0.1;0.468962382;2.4;2.1;mM-mF;Diurnal;Arboreal;Wooded;0.04;Dispersal;Dispersal;Female;Multiple;Dispersal
Saguinus graellsi;Cebidae;0.83;8;NA;1;0.1;NA;2;1;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;NA;NA;NA
Saguinus imperator;Cebidae;0.005;4;2.297590663;1;0.1;0.371755131;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.05;Dispersal;Dispersal;Female;One;Dispersal
Saguinus labiatus;Cebidae;0.2;6.3;2.626509717;1;0.1;0.531680408;2;2;mM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;Multiple;Dispersal
Saguinus midas;Cebidae;0.217;5;2.488589972;1;0.1;0.558387887;3;1;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Saguinus mystax;Cebidae;0.362;8.38;2.510711022;1;0.1;0.320227068;2.433333333;1.966666667;mM-sF;Diurnal;Arboreal;Wooded;4.00E-04;Dispersal;Dispersal;Female;One;Dispersal
Saguinus nigricollis;Cebidae;0.8;5.9;1.321109099;1;0.1;0.174532925;1.2;1.2;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Female;One;Dispersal
Saguinus oedipus;Cebidae;0.24;5.6;5.158451439;1;0.1;1.565271838;2.75;1.48;mM-sF;Diurnal;Arboreal;Wooded;NA;Dispersal;Dispersal;Female;One;Dispersal
